City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Sao Manuel,-22.7311,-48.5706,92.39,31,41,13.09,BR,2021-10-03 15:47:07
99,Tiksi,71.6872,128.8694,25.36,91,80,12.26,RU,2021-10-03 15:46:32
100,Mezen,65.8522,44.24,45.14,94,100,6.15,RU,2021-10-03 15:47:07
101,Catamarca,-28.4696,-65.7852,61.59,41,80,5.86,AR,2021-10-03 15:46:45
102,Flinders,-34.5833,150.8552,64.18,75,81,1.01,AU,2021-10-03 15:47:07
103,Isangel,-19.55,169.2667,77.11,83,19,3.44,VU,2021-10-03 15:46:53
104,Komsomolskiy,40.4272,71.7189,58.42,76,75,0.0,UZ,2021-10-03 15:47:08
105,Barcelos,41.5388,-8.6151,66.85,52,22,10.98,PT,2021-10-03 15:45:10
106,Brae,60.3964,-1.353,51.71,77,65,37.89,GB,2021-10-03 15:47:09
107,Twin Falls,42.3505,-114.6445,51.69,32,1,8.05,US,2021-10-03 15:47:09
108,Mount Gambier,-37.8333,140.7667,48.11,93,75,9.22,AU,2021-10-03 15:47:09
109,Pisco,-13.7,-76.2167,64.02,82,97,6.35,PE,2021-10-03 15:47:10
110,Butaritari,3.0707,172.7902,81.73,69,96,14.76,KI,2021-10-03 15:47:10
111,Tazovskiy,67.4667,78.7,33.42,70,95,10.94,RU,2021-10-03 15:47:10
112,Kavaratti,10.5669,72.642,81.54,79,100,9.91,IN,2021-10-03 15:47:11
113,Pokhara,28.2333,83.9833,68.67,93,58,2.06,NP,2021-10-03 15:46:18
114,New Norfolk,-42.7826,147.0587,53.74,83,70,1.5,AU,2021-10-03 15:47:11
115,Portland,45.5234,-122.6762,57.6,84,40,0.0,US,2021-10-03 15:45:55
116,Cidreira,-30.1811,-50.2056,66.85,84,100,7.45,BR,2021-10-03 15:46:58
117,Along,28.1667,94.7667,71.96,96,98,1.25,IN,2021-10-03 15:47:12
118,Bahia Blanca,-38.7196,-62.2724,62.35,23,1,11.3,AR,2021-10-03 15:47:12
